Industry,Symbol,Sym,Company Name,Series,ISIN Code,
Chemicals,CLEAN,CLEAN.NS,Clean Science and Technology Ltd.,EQ,INE227W01023,500
Oil Gas & Consumable Fuels,COALINDIA,COALINDIA.NS,Coal India Ltd.,EQ,INE522F01014,50
Capital Goods,COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard Ltd.,EQ,INE704P01025,500
Information Technology,COFORGE,COFORGE.NS,Coforge Ltd.,EQ,INE591G01017,500
Fast Moving Consumer Goods,COLPAL,COLPAL.NS,Colgate Palmolive (India) Ltd.,EQ,INE259A01022,500
Financial Services,CAMS,CAMS.NS,Computer Age Management Services Ltd.,EQ,INE596I01012,500
Healthcare,CONCORDBIO,CONCORDBIO.NS,Concord Biotech Ltd.,EQ,INE338H01029,500
Services,CONCOR,CONCOR.NS,Container Corporation of India Ltd.,EQ,INE111A01025,500
Chemicals,COROMANDEL,COROMANDEL.NS,Coromandel International Ltd.,EQ,INE169A01031,500
Automobile and Auto Components,CRAFTSMAN,CRAFTSMAN.NS,Craftsman Automation Ltd.,EQ,INE00LO01017,500
Financial Services,CREDITACC,CREDITACC.NS,CreditAccess Grameen Ltd.,EQ,INE741K01010,500
Consumer Durables,CROMPTON,CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,EQ,INE299U01018,500
Capital Goods,CUMMINSIND,CUMMINSIND.NS,Cummins India Ltd.,EQ,INE298A01020,500
Information Technology,CYIENT,CYIENT.NS,Cyient Ltd.,EQ,INE136B01020,500
Diversified,DCMSHRIRAM,DCMSHRIRAM.NS,DCM Shriram Ltd.,EQ,INE499A01024,500
Realty,DLF,DLF.NS,DLF Ltd.,EQ,INE271C01023,100
Fast Moving Consumer Goods,DOMS,DOMS.NS,DOMS Industries Ltd.,EQ,INE321T01012,500
Fast Moving Consumer Goods,DABUR,DABUR.NS,Dabur India Ltd.,EQ,INE016A01026,100
Construction Materials,DALBHARAT,DALBHARAT.NS,Dalmia Bharat Ltd.,EQ,INE00R701025,500
Capital Goods,DATAPATTNS,DATAPATTNS.NS,Data Patterns (India) Ltd.,EQ,INE0IX101010,500
Chemicals,DEEPAKFERT,DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,EQ,INE501A01019,500
Chemicals,DEEPAKNTR,DEEPAKNTR.NS,Deepak Nitrite Ltd.,EQ,INE288B01029,500
Services,DELHIVERY,DELHIVERY.NS,Delhivery Ltd.,EQ,INE148O01028,500
Consumer Services,DEVYANI,DEVYANI.NS,Devyani International Ltd.,EQ,INE872J01023,500
Healthcare,DIVISLAB,DIVISLAB.NS,Divi's Laboratories Ltd.,EQ,INE361B01024,100
Consumer Durables,DIXON,DIXON.NS,Dixon Technologies (India) Ltd.,EQ,INE935N01020,500
Healthcare,LALPATHLAB,LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,EQ,INE600L01024,500
Healthcare,DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,EQ,INE089A01031,50
Capital Goods,DUMMYSIEMS,DUMMYSIEMS.NS,Dummy Siemens Ltd.,EQ,DUM003A01024,100
Fast Moving Consumer Goods,EIDPARRY,EIDPARRY.NS,E.I.D. Parry (India) Ltd.,EQ,INE126A01031,500
Consumer Services,EIHOTEL,EIHOTEL.NS,EIH Ltd.,EQ,INE230A01023,500
Automobile and Auto Components,EICHERMOT,EICHERMOT.NS,Eicher Motors Ltd.,EQ,INE066A01021,50
Capital Goods,ELECON,ELECON.NS,Elecon Engineering Co. Ltd.,EQ,INE205B01031,500
Capital Goods,ELGIEQUIP,ELGIEQUIP.NS,Elgi Equipments Ltd.,EQ,INE285A01027,500
Fast Moving Consumer Goods,EMAMILTD,EMAMILTD.NS,Emami Ltd.,EQ,INE548C01032,500
Healthcare,EMCURE,EMCURE.NS,Emcure Pharmaceuticals Ltd.,EQ,INE168P01015,500
Automobile and Auto Components,ENDURANCE,ENDURANCE.NS,Endurance Technologies Ltd.,EQ,INE913H01037,500
Construction,ENGINERSIN,ENGINERSIN.NS,Engineers India Ltd.,EQ,INE510A01028,500
Healthcare,ERIS,ERIS.NS,Eris Lifesciences Ltd.,EQ,INE406M01024,500
Capital Goods,ESCORTS,ESCORTS.NS,Escorts Kubota Ltd.,EQ,INE042A01014,500
Consumer Services,ETERNAL,ETERNAL.NS,Eternal Ltd.,EQ,INE758T01015,50
Automobile and Auto Components,EXIDEIND,EXIDEIND.NS,Exide Industries Ltd.,EQ,INE302A01020,500
Consumer Services,NYKAA,NYKAA.NS,FSN E-Commerce Ventures Ltd.,EQ,INE388Y01029,500
Financial Services,FEDERALBNK,FEDERALBNK.NS,Federal Bank Ltd.,EQ,INE171A01029,500
Chemicals,FACT,FACT.NS,Fertilisers and Chemicals Travancore Ltd.,EQ,INE188A01015,500
Capital Goods,FINCABLES,FINCABLES.NS,Finolex Cables Ltd.,EQ,INE235A01022,500
Capital Goods,FINPIPE,FINPIPE.NS,Finolex Industries Ltd.,EQ,INE183A01024,500
Services,FSL,FSL.NS,Firstsource Solutions Ltd.,EQ,INE684F01012,500
Financial Services,FIVESTAR,FIVESTAR.NS,Five-Star Business Finance Ltd.,EQ,INE128S01021,500
Healthcare,FORTIS,FORTIS.NS,Fortis Healthcare Ltd.,EQ,INE061F01013,500
Oil Gas & Consumable Fuels,GAIL,GAIL.NS,GAIL (India) Ltd.,EQ,INE129A01019,100
Capital Goods,GVT&D,GVT&D.NS,GE Vernova T&D India Ltd.,EQ,INE200A01026,500
Services,GMRAIRPORT,GMRAIRPORT.NS,GMR Airports Ltd.,EQ,INE776C01039,500
Capital Goods,GRSE,GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd.,EQ,INE382Z01011,500
Financial Services,GICRE,GICRE.NS,General Insurance Corporation of India,EQ,INE481Y01014,500
Fast Moving Consumer Goods,GILLETTE,GILLETTE.NS,Gillette India Ltd.,EQ,INE322A01010,500
Healthcare,GLAND,GLAND.NS,Gland Pharma Ltd.,EQ,INE068V01023,500
Healthcare,GLAXO,GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.,EQ,INE159A01016,500
Healthcare,GLENMARK,GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,EQ,INE935A01035,500
Healthcare,MEDANTA,MEDANTA.NS,Global Health Ltd.,EQ,INE474Q01031,500
Financial Services,GODIGIT,GODIGIT.NS,Go Digit General Insurance Ltd.,EQ,INE03JT01014,500
Capital Goods,GPIL,GPIL.NS,Godawari Power & Ispat Ltd.,EQ,INE177H01039,500
Fast Moving Consumer Goods,GODFRYPHLP,GODFRYPHLP.NS,Godfrey Phillips India Ltd.,EQ,INE260B01028,500
Fast Moving Consumer Goods,GODREJAGRO,GODREJAGRO.NS,Godrej Agrovet Ltd.,EQ,INE850D01014,500
Fast Moving Consumer Goods,GODREJCP,GODREJCP.NS,Godrej Consumer Products Ltd.,EQ,INE102D01028,100
Diversified,GODREJIND,GODREJIND.NS,Godrej Industries Ltd.,EQ,INE233A01035,500
Realty,GODREJPROP,GODREJPROP.NS,Godrej Properties Ltd.,EQ,INE484J01027,500
Healthcare,GRANULES,GRANULES.NS,Granules India Ltd.,EQ,INE101D01020,500
Capital Goods,GRAPHITE,GRAPHITE.NS,Graphite India Ltd.,EQ,INE371A01025,500
Construction Materials,GRASIM,GRASIM.NS,Grasim Industries Ltd.,EQ,INE047A01021,50
Metals & Mining,GRAVITA,GRAVITA.NS,Gravita India Ltd.,EQ,INE024L01027,500
Services,GESHIP,GESHIP.NS,Great Eastern Shipping Co. Ltd.,EQ,INE017A01032,500
Chemicals,FLUOROCHEM,FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,EQ,INE09N301011,500
Oil Gas & Consumable Fuels,GUJGASLTD,GUJGASLTD.NS,Gujarat Gas Ltd.,EQ,INE844O01030,500
Metals & Mining,GMDCLTD,GMDCLTD.NS,Gujarat Mineral Development Corporation Ltd.,EQ,INE131A01031,500
Chemicals,GNFC,GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,EQ,INE113A01013,500
Services,GPPL,GPPL.NS,Gujarat Pipavav Port Ltd.,EQ,INE517F01014,500
Oil Gas & Consumable Fuels,GSPL,GSPL.NS,Gujarat State Petronet Ltd.,EQ,INE246F01010,500
Capital Goods,HEG,HEG.NS,H.E.G. Ltd.,EQ,INE545A01024,500
Capital Goods,HBLENGINE,HBLENGINE.NS,HBL Engineering Ltd.,EQ,INE292B01021,500
Information Technology,HCLTECH,HCLTECH.NS,HCL Technologies Ltd.,EQ,INE860A01027,50
Financial Services,HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Ltd.,EQ,INE127D01025,500
Financial Services,HDFCBANK,HDFCBANK.NS,HDFC Bank Ltd.,EQ,INE040A01034,50
Financial Services,HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,EQ,INE795G01014,50
Telecommunication,HFCL,HFCL.NS,HFCL Ltd.,EQ,INE548A01028,500
Information Technology,HAPPSTMNDS,HAPPSTMNDS.NS,Happiest Minds Technologies Ltd.,EQ,INE419U01012,500
Consumer Durables,HAVELLS,HAVELLS.NS,Havells India Ltd.,EQ,INE176B01034,100
Automobile and Auto Components,HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp Ltd.,EQ,INE158A01026,50
Chemicals,HSCL,HSCL.NS,Himadri Speciality Chemical Ltd.,EQ,INE019C01026,500
Metals & Mining,HINDALCO,HINDALCO.NS,Hindalco Industries Ltd.,EQ,INE038A01020,50
Capital Goods,HAL,HAL.NS,Hindustan Aeronautics Ltd.,EQ,INE066F01020,100
Metals & Mining,HINDCOPPER,HINDCOPPER.NS,Hindustan Copper Ltd.,EQ,INE531E01026,500
Oil Gas & Consumable Fuels,HINDPETRO,HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,EQ,INE094A01015,500
Fast Moving Consumer Goods,HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Ltd.,EQ,INE030A01027,50
Metals & Mining,HINDZINC,HINDZINC.NS,Hindustan Zinc Ltd.,EQ,INE267A01025,500
Capital Goods,POWERINDIA,POWERINDIA.NS,Hitachi Energy India Ltd.,EQ,INE07Y701011,500
Financial Services,HOMEFIRST,HOMEFIRST.NS,Home First Finance Company India Ltd.,EQ,INE481N01025,500
Fast Moving Consumer Goods,HONASA,HONASA.NS,Honasa Consumer Ltd.,EQ,INE0J5401028,500
Capital Goods,HONAUT,HONAUT.NS,Honeywell Automation India Ltd.,EQ,INE671A01010,500
Financial Services,HUDCO,HUDCO.NS,Housing & Urban Development Corporation Ltd.,EQ,INE031A01017,500
Automobile and Auto Components,HYUNDAI,HYUNDAI.NS,Hyundai Motor India Ltd.,EQ,INE0V6F01027,100
Financial Services,ICICIBANK,ICICIBANK.NS,ICICI Bank Ltd.,EQ,INE090A01021,50
Financial Services,ICICIGI,ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,EQ,INE765G01017,100
Financial Services,ICICIPRULI,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,EQ,INE726G01019,100
Financial Services,IDBI,IDBI.NS,IDBI Bank Ltd.,EQ,INE008A01015,500
Financial Services,IDFCFIRSTB,IDFCFIRSTB.NS,IDFC First Bank Ltd.,EQ,INE092T01019,500
Financial Services,IFCI,IFCI.NS,IFCI Ltd.,EQ,INE039A01010,500
Financial Services,IIFL,IIFL.NS,IIFL Finance Ltd.,EQ,INE530B01024,500
Capital Goods,INOXINDIA,INOXINDIA.NS,INOX India Ltd.,EQ,INE616N01034,500
Construction,IRB,IRB.NS,IRB Infrastructure Developers Ltd.,EQ,INE821I01022,500
Construction,IRCON,IRCON.NS,IRCON International Ltd.,EQ,INE962Y01021,500
Fast Moving Consumer Goods,ITC,ITC.NS,ITC Ltd.,EQ,INE154A01025,50
Telecommunication,ITI,ITI.NS,ITI Ltd.,EQ,INE248A01017,500
Healthcare,INDGN,INDGN.NS,Indegene Ltd.,EQ,INE065X01017,500
Construction Materials,INDIACEM,INDIACEM.NS,India Cements Ltd.,EQ,INE383A01012,500
Consumer Services,INDIAMART,INDIAMART.NS,Indiamart Intermesh Ltd.,EQ,INE933S01016,500
Financial Services,INDIANB,INDIANB.NS,Indian Bank,EQ,INE562A01011,500
Financial Services,IEX,IEX.NS,Indian Energy Exchange Ltd.,EQ,INE022Q01020,500
Consumer Services,INDHOTEL,INDHOTEL.NS,Indian Hotels Co. Ltd.,EQ,INE053A01029,100
Oil Gas & Consumable Fuels,IOC,IOC.NS,Indian Oil Corporation Ltd.,EQ,INE242A01010,100
Financial Services,IOB,IOB.NS,Indian Overseas Bank,EQ,INE565A01014,500
Consumer Services,IRCTC,IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,EQ,INE335Y01020,500
Financial Services,IRFC,IRFC.NS,Indian Railway Finance Corporation Ltd.,EQ,INE053F01010,100
Financial Services,IREDA,IREDA.NS,Indian Renewable Energy Development Agency Ltd.,EQ,INE202E01016,500
