SYMBOL,NAMEOFCOMPANY,ASSET_TYPE,ISINNUMBER,ASSET_RANK
POWERINDIA.NS,Hitachi Energy India Ltd.,EQ,INE07Y701011,500
HOMEFIRST.NS,Home First Finance Company India Ltd.,EQ,INE481N01025,500
HONASA.NS,Honasa Consumer Ltd.,EQ,INE0J5401028,500
HONAUT.NS,Honeywell Automation India Ltd.,EQ,INE671A01010,500
HUDCO.NS,Housing & Urban Development Corporation Ltd.,EQ,INE031A01017,500
HYUNDAI.NS,Hyundai Motor India Ltd.,EQ,INE0V6F01027,100
ICICIBANK.NS,ICICI Bank Ltd.,EQ,INE090A01021,50
ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,EQ,INE765G01017,100
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,EQ,INE726G01019,100
IDBI.NS,IDBI Bank Ltd.,EQ,INE008A01015,500
IDFCFIRSTB.NS,IDFC First Bank Ltd.,EQ,INE092T01019,500
IFCI.NS,IFCI Ltd.,EQ,INE039A01010,500
IIFL.NS,IIFL Finance Ltd.,EQ,INE530B01024,500
INOXINDIA.NS,INOX India Ltd.,EQ,INE616N01034,500
IRB.NS,IRB Infrastructure Developers Ltd.,EQ,INE821I01022,500
IRCON.NS,IRCON International Ltd.,EQ,INE962Y01021,500
ITC.NS,ITC Ltd.,EQ,INE154A01025,50
ITI.NS,ITI Ltd.,EQ,INE248A01017,500
INDGN.NS,Indegene Ltd.,EQ,INE065X01017,500
INDIACEM.NS,India Cements Ltd.,EQ,INE383A01012,500
INDIAMART.NS,Indiamart Intermesh Ltd.,EQ,INE933S01016,500
INDIANB.NS,Indian Bank,EQ,INE562A01011,500
IEX.NS,Indian Energy Exchange Ltd.,EQ,INE022Q01020,500
INDHOTEL.NS,Indian Hotels Co. Ltd.,EQ,INE053A01029,100
IOC.NS,Indian Oil Corporation Ltd.,EQ,INE242A01010,100
IOB.NS,Indian Overseas Bank,EQ,INE565A01014,500
IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,EQ,INE335Y01020,500
IRFC.NS,Indian Railway Finance Corporation Ltd.,EQ,INE053F01010,100
IREDA.NS,Indian Renewable Energy Development Agency Ltd.,EQ,INE202E01016,500
IGL.NS,Indraprastha Gas Ltd.,EQ,INE203G01027,500
INDUSTOWER.NS,Indus Towers Ltd.,EQ,INE121J01017,500
INDUSINDBK.NS,IndusInd Bank Ltd.,EQ,INE095A01012,50
NAUKRI.NS,Info Edge (India) Ltd.,EQ,INE663F01024,100
INFY.NS,Infosys Ltd.,EQ,INE009A01021,50
INOXWIND.NS,Inox Wind Ltd.,EQ,INE066P01011,500
INTELLECT.NS,Intellect Design Arena Ltd.,EQ,INE306R01017,500
INDIGO.NS,InterGlobe Aviation Ltd.,EQ,INE646L01027,100
IGIL.NS,International Gemmological Institute (India) Ltd.,EQ,INE0Q9301021,500
IKS.NS,Inventurus Knowledge Solutions Ltd.,EQ,INE115Q01022,500
IPCALAB.NS,Ipca Laboratories Ltd.,EQ,INE571A01038,500
JBCHEPHARM.NS,J.B. Chemicals & Pharmaceuticals Ltd.,EQ,INE572A01036,500
JKCEMENT.NS,J.K. Cement Ltd.,EQ,INE823G01014,500
JBMA.NS,JBM Auto Ltd.,EQ,INE927D01051,500
JKTYRE.NS,JK Tyre & Industries Ltd.,EQ,INE573A01042,500
JMFINANCIL.NS,JM Financial Ltd.,EQ,INE780C01023,500
JSWENERGY.NS,JSW Energy Ltd.,EQ,INE121E01018,100
JSWHL.NS,JSW Holdings Ltd.,BE,INE824G01012,500
JSWINFRA.NS,JSW Infrastructure Ltd.,EQ,INE880J01026,500
JSWSTEEL.NS,JSW Steel Ltd.,EQ,INE019A01038,50
JPPOWER.NS,Jaiprakash Power Ventures Ltd.,EQ,INE351F01018,500
J&KBANK.NS,Jammu & Kashmir Bank Ltd.,EQ,INE168A01041,500
JINDALSAW.NS,Jindal Saw Ltd.,EQ,INE324A01032,500
JSL.NS,Jindal Stainless Ltd.,EQ,INE220G01021,500
JINDALSTEL.NS,Jindal Steel & Power Ltd.,EQ,INE749A01030,100
JIOFIN.NS,Jio Financial Services Ltd.,EQ,INE758E01017,50
JUBLFOOD.NS,Jubilant Foodworks Ltd.,EQ,INE797F01020,500
JUBLINGREA.NS,Jubilant Ingrevia Ltd.,EQ,INE0BY001018,500
